name,ring,quadrant,isNew,description
docker,adopt,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
jenkins,adopt,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
TypeScript,adopt,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Vue,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
React,adopt,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Angular,adopt,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Contentful,adopt,platforms,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Clean Code,adopt,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Micro frontends,assess,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Functional Programming,trial,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
artifactory,assess,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Python,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Go,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
AWS,adopt,platforms,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
MongoDB,assess,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Node.js,adopt,platforms,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Ionic,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Stencil,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Web Components,trial,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Bit,assess,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Redux,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
MobX,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
RxJS,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
ES Modules,trial,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
GraphQL,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Apollo,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Gatsby,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Cypress,assess,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Svelte,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Rust,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Tailwindcss,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
PWA,trial,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Reason,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Flow,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
TypeScript,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Webassembly,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Relay,assess,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Storybook,assess,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Webpack,adopt,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Mobile-First Animations,assess,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Pulimi,assess,platforms,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Istio,assess,platforms,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Knative,assess,platforms,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Helm,assess,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Headless,assess,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
jQuery,hold,language-and-frameworks,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
gulp,hold,tools,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Some old technique,hold,techniques,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"
Some trending but unreliable platform,hold,platforms,TRUE,"<p>Please add a short meaningful description and a reasoning why this entry is placed in this ring</p>"